id,title,company,location,url,summary,requirements,salary,date_posted,scraped_date,applied,applied_date,match_score,source
30,Automation & AI/ML Intern,Nokia,Remote,"https://www.ziprecruiter.com/c/Nokia/Job/Automation-&-AI-ML-Intern/-in-Remote,US?jid=5b9b5b578f6da876&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Job Description

Position: Automation & AI/ML Intern
Number of Position(s): 1
Duration: 4 months
Date: September 2025 - December 2025
Location: Remote - United States

EDUCATIONAL RECOMMENDATIONS

Currently a candidate for a Bachelor's degree, Master's degree, or Diploma in Computer Science, Electronics, Electrical Engineering, or a related field at an accredited school in the US.

Responsibilities
• Assist in the development of automation tools and software prototypes to contribute to servic...","Job Description

Position: Automation & AI/ML Intern
Number of Position(s): 1
Duration: 4 months
Date: September 2025 - December 2025
Location: Remote - United States

EDUCATIONAL RECOMMENDATIONS

Currently a candidate for a Bachelor's degree, Master's degree, or Diploma in Computer Science, Electronics, Electrical Engineering, or a related field at an accredited school in the US.

Responsibilities
• Assist in the development of automation tools and software prototypes to contribute to service delivery
• Apply machine learning techniques to solve defined business challenges
• Collaborate with experts to design innovative solutions that improve network planning and optimization
• Use online learning platforms and internal resources to explore new approaches and technologies
• Document project outcomes and key technical learnings

Qualifications
• Familiar with Python programming and basic software development practices
• Interested in machine learning, cloud technologies, and working with databases
• A strong communicator with a curious mindset and collaborative spirit

It would be nice if you also had:
• Exposure to LTE/5G telecommunications technology
• Experience applying AI or automation to real-world challenges
• A passion for innovation and continuous learning

About Us

Come create the technology that helps the world act together
Nokia is committed to innovation and technology leadership across mobile, fixed and cloud networks. Your career here will have a positive impact on people's lives and will help us build the capabilities needed for a more productive, sustainable, and inclusive world.
We challenge ourselves to create an inclusive way of working where we are open to new ideas, empowered to take risks and fearless to bring our authentic selves to work

What we offer
Nokia offers continuous learning opportunities, well-being programs to support you mentally and physically, opportunities to join and get supported by employee resource groups, mentoring programs and highly diverse teams with an inclusive culture where people thrive and are empowered.

Nokia is committed to inclusion and is an equal opportunity employer
Nokia has received the following recognitions for its commitment to inclusion & equality:
• One of the World's Most Ethical Companies by Ethisphere
• Gender-Equality Index by Bloomberg
• Workplace Pride Global Benchmark

At Nokia, we act inclusively and respect the uniqueness of people. Nokia's employment decisions are made regardless of race, color, national or ethnic origin, religion, gender, sexual orientation, gender identity or expression, age, marital status, disability, protected veteran status or other characteristics protected by law. We are committed to a culture of inclusion built upon our core value of respect.
Join us and be part of a company where you will feel included and empowered to succeed.

Additional Information
US/Canada Nokia Offers a comprehensive benefits package that includes but is not limited to:
• Corporate Retirement Savings Plan
• Health and dental benefits
• Short-term disability, and long-term disability
• Life insurance, and AD&D - Company paid 2x base pay
• Optional or Supplemental life and AD&D insurance (Employee/Spouse/Child)
• Paid time off for holidays and Vacation
• Employee Stock Purchase Plan
• Tuition Assistance Plan
• Adoption assistance
• Employee Assistance Program/Work Life Resource Program

The above benefits exclude students.

Disclaimer for US/Canada

Nokia Maintains broad annual base salary ranges for its roles in order to account for variations in knowledge, skills, experience and market conditions, and with consideration to internal peer equity.(Check the salary ranges in the job info section for this role)

All North America job posts will post for a minimum of 7 calendar days and up to 180 days or until candidate/s identified.

About the Team

In Mobile Networks, our ambition is to become the trusted partner of choice for Communications Service Providers (CSPs), as well as for non-CSP entities in sectors like utilities, transportation, public services, and defense. We strive to deliver unbeatable customer experiences in wireless connectivity.",Salary not specified,2025-05-20T00:00:00.000Z,2025-05-31 19:18:38.279995,False,,81.66992,jsearch_api
29,Research Intern (AI/ML),Symbl.ai,Remote,https://www.builtinseattle.com/job/research-intern-aiml/3745903?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Elevating the quality of human life through every conversation

About the Team:

The Symbl AI Research team serves as a vital link connecting our research division with our valued customers. Through tackling real-world use cases, we gain valuable insights into our technology's current capabilities and identify promising research areas to prioritize in the future. We are currently seeking Research Interns to come on board and assist us in unlocking the complete potential of our current product...","Elevating the quality of human life through every conversation

About the Team:

The Symbl AI Research team serves as a vital link connecting our research division with our valued customers. Through tackling real-world use cases, we gain valuable insights into our technology's current capabilities and identify promising research areas to prioritize in the future. We are currently seeking Research Interns to come on board and assist us in unlocking the complete potential of our current product suite, headlined by the Nebula LLM.

About the Role:

As a Research Intern at Symbl.ai, you will have the opportunity to be part of our dynamic team and engage in meaningful research projects. Your role will involve working with real world data and scenarios, and deploying ML techniques and algorithms at scale to solve problems of vital business value. This role is designed for passionate individuals who are eager to contribute to our innovative work in AI/ML and research.

Highlights for Research Intern at Symbl.ai:

In this role, you will have the unique opportunity to immerse yourself in the world of Nebula, our cutting-edge large language model (LLM), and work on state-of-the-art techniques at the intersection of Machine Learning and AI Research. You will be part of a highly collaborative and agile environment that nurtures innovation and fosters your growth as a research professional.

Working as a Research Intern, you will:
• Contribute to the development and advancement of the Nebula LLM, our flagship product.
• Work with experienced researchers and developers to conduct novel research, and translate that into real world impact.
• Dive into real-world Machine Learning applications.
• Work on research projects that push the boundaries of AI and NLP technology.
• Gain hands-on experience in deploying AI tools and techniques.
• Analyze data, experiment with algorithms, and enhance your problem-solving skills.
• Develop deep, hands-on knowledge of building, maintaining, and deploying a large language model.

Please Note: Although we have focused centers in Seattle, WA and Pune, IN, there are no restrictions on where you can be located for this role - Symbl is fully remote.

To excel in this role, you should:
• Have a strong passion for AI/ML/NLP research and a desire to learn.
• Hold (or currently pursuing) a Ph.D. or Master's degree in an AI/ML/NLP area.
• Possess a solid foundation in Machine Learning concepts.
• Demonstrate strong analytical and problem-solving skills.
• Be proficient in data analysis and research methodologies.
• Have a prior portfolio of hands-on development work, preferably in the AI/ML space (include link to examples or Github).
• Show a keen interest in AI and technology trends.
• Demonstrated research work, including but not limited to published work.
• Possess effective communication and teamwork skills.
• Be adaptable, curious, and committed to contributing to the research community.
• Be self-driven, motivated, and hold strong technical opinions.

About Symbl.ai

We are a venture-funded AI startup building conversational AI since 2018; and the journey of building safe, secure and business-ready AI to solve problems in communication experiences informs a lot of the decisions we make about how we build our technology. Symbl is a developer-first platform whose core mission is to bring understanding and generative AI to every business that relies on understanding human conversations, and give machines the ability to comprehend communications better than humans. We believe this will transform how businesses think about their knowledge and will accelerate the various use cases where unlocking unstructured data for business use cases generates ROI at scale.
We obsess about a great developer experience for all our products, the business-readiness of the AI we build, and pride ourselves in bringing state-of-the-art Large Language Models (LLMs) to multi-modal multi-party conversations.

As an organization, we firmly believe in equal opportunity and do not engage in any form of discrimination based on race, religion, national origin, gender, sexual orientation, age, veteran status, disability, or any other legally protected status. We are committed to maintaining a diverse and inclusive work environment where every individual is respected and valued for their unique contributions.

How to Apply: Email with your cover letter including any relevant links to Github or your recent publications to careers@symbl.ai. We look forward to getting to know you!",Salary not specified,2025-05-15T00:00:00.000Z,2025-05-31 19:18:38.272691,False,,,jsearch_api
28,AI/ML Engineer - Intern at SproutsAI,SproutsAI,Remote,https://peerlist.io/company/sproutsai/careers/aiml-engineer--intern/jobha9njro9e8rkoj1jnd7mr86r9ql?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"SproutsAI is hiring with Peerlist for a Internship AI/ML Engineer - Intern. Required skills: Data Analytics,Data Management and Engineering,Machine Learning,Programming Skills","SproutsAI is hiring with Peerlist for a Internship AI/ML Engineer - Intern. Required skills: Data Analytics,Data Management and Engineering,Machine Learning,Programming Skills",Salary not specified,,2025-05-31 19:18:38.265162,False,,62.889282,jsearch_api
27,Deep Learning Intern,Infer,Remote,https://www.ycombinator.com/companies/infer/jobs/9uKFdwa-deep-learning-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"What you'll do:
• Fine-tune and deploy open source NLP models like Falcon, Whisper, MPT, etc.
• Understand and implement relevant techniques to improve model performance beyond fine-tuning.
• Assist in deploying LLMs based on customer needs.
• Participate in monitoring and improving the performance of models deployed to production.
• Contribute to the writing of well-crafted programs throughout the system. This includes data pipelines, experiment prototypes, scalable deployment models, and ev...","What you'll do:
• Fine-tune and deploy open source NLP models like Falcon, Whisper, MPT, etc.
• Understand and implement relevant techniques to improve model performance beyond fine-tuning.
• Assist in deploying LLMs based on customer needs.
• Participate in monitoring and improving the performance of models deployed to production.
• Contribute to the writing of well-crafted programs throughout the system. This includes data pipelines, experiment prototypes, scalable deployment models, and evaluation, visualization, and monitoring systems.
• Engage in discussions about architecture and propose solutions to system and product changes.

Skills & Experience:
• Experience in fine-tuning and deploying LLMs (please provide examples of past projects).
• Experience with tools like LangChain, Huggingface Transformers and Weights & Biases.
• Experience with prompt design and implementation.
• Solid understanding of deep learning frameworks like TensorFlow or PyTorch to experiment with Neural nets and Datasets.
• Experience with AWS SageMaker or an equivalent service for training and deploying neural networks.
• Understanding of relevant techniques to improve model performance.

We welcome applications from candidates who are in the process of obtaining their degree or have recently graduated. Past experience with fine-tuning models is crucial. We're looking for someone who has a good understanding of NLP and is excited about the opportunity to apply and grow their skills.",Salary not specified,,2025-05-31 19:18:38.258005,False,,57.86558,jsearch_api
26,Machine Learning Intern,Jericho Security,Remote,https://www.remoterocketship.com/company/jerichosecurity/jobs/machine-learning-intern-united-states?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Description:
• Assist in the development, testing, and evaluation of machine learning models
• Clean, process, and analyze large datasets
• Contribute to experimentation and documentation of model performance
• Collaborate with cross-functional teams to deploy ML solutions
• Research and prototype new algorithms under guidance from senior team members
• Present findings and updates in weekly team meetings

Requirements:
• Currently enrolled in a Master’s program in Computer Science, Machine L...","Description:
• Assist in the development, testing, and evaluation of machine learning models
• Clean, process, and analyze large datasets
• Contribute to experimentation and documentation of model performance
• Collaborate with cross-functional teams to deploy ML solutions
• Research and prototype new algorithms under guidance from senior team members
• Present findings and updates in weekly team meetings

Requirements:
• Currently enrolled in a Master’s program in Computer Science, Machine Learning, Data Science, Statistics or a related technical field
• Strong understanding of machine learning concepts and techniques (e.g., supervised/unsupervised learning, deep learning)
• Proficiency in Python and ML libraries such as scikit-learn, TensorFlow, or PyTorch
• Experience working with data (data cleaning, feature engineering, etc.)
• Familiarity with Jupyter Notebooks, version control (Git), and cloud platforms is a plus
• Strong communication skills and ability to work independently in a remote setting
• Ability to find solutions to open-ended, potentially complex problems
• Nice-to-have’s: Experience with NLP, computer vision, or reinforcement learning
• Familiarity with in-context learning, prompt engineering, and LLM post-training methods
• Familiarity with online experiments via A/B testing
• Prior internship or research experience in ML
• Contributions to open-source ML projects

Benefits:
• Hands-on experience applying ML in a professional environment
• Mentorship from experienced engineers and researchers
• Opportunity to contribute to meaningful projects and publish findings
• A collaborative and innovative work culture",Salary not specified,,2025-05-31 19:18:38.250750,False,,67.85479,jsearch_api
25,AI/ML Intern (Remote in North Carolina),Rocket Lawyer,Remote (North Carolina),https://www.tealhq.com/job/ai-ml-intern-remote-in-north-carolina-new_99600dab-db8f-4e00-be98-cd643632a154?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"About the position

Rocket Lawyer is looking for a motivated and passionate AI/ML Software Engineering Intern to join our team working on Rocket Copilot, our AI assistant launched in December 2023. In this internship, you will collaborate with our cross-functional teams to assist in embedding AI features across our platform. You'll have the opportunity to learn from experienced engineers while working on real-world AI/ML projects, helping design, implement, test, and maintain new AI features....","About the position

Rocket Lawyer is looking for a motivated and passionate AI/ML Software Engineering Intern to join our team working on Rocket Copilot, our AI assistant launched in December 2023. In this internship, you will collaborate with our cross-functional teams to assist in embedding AI features across our platform. You'll have the opportunity to learn from experienced engineers while working on real-world AI/ML projects, helping design, implement, test, and maintain new AI features. We value a collaborative and supportive work environment, where we celebrate learning and growth. This is a great opportunity for someone eager to expand their skills and contribute to innovative AI solutions.

Responsibilities
• Assist in prompting, evaluating, fine-tuning, and maintaining large language models (LLMs) for AI features
,
• Support the creation, monitoring, and troubleshooting of backend API services that interact with ML models
,
• Collaborate with cross-functional teams to integrate AI into existing and new Rocket Lawyer products
,
• Research and stay up-to-date with industry trends around generative AI and machine learning
,
• Prototype product features to explore new AI capabilities and write clean, understandable code

Requirements
• Currently pursuing a BS, MS, or PhD in Computer Science, Mathematics, Statistics, or a related field
,
• Current or upcoming Juniors & Seniors (rising into your third or fourth year)
,
• Basic understanding of machine learning concepts and algorithms
,
• Familiarity with generative AI technologies and models (Deep Learning, RAG, Neural Networks, Agents)
,
• Interest or experience working with large language models (LLMs) and generative AI
,
• Strong programming skills in Python

Nice-to-haves
• Exposure to machine learning frameworks such as TensorFlow, PyTorch, or Scikit-Learn
,
• Familiarity with vector databases
,
• Experience with backend Python frameworks like FastAPI, Flask, Django, etc.
,
• Additional programming skills in languages such as Java, Kotlin, or NodeJS
,
• SQL knowledge
,
• Interest in building user-facing products
,
• Understanding of microservices architectures and distributed systems

Benefits

undefined",Salary not specified,,2025-05-31 19:18:38.243557,False,,64.889336,jsearch_api
24,"Fall Machine Learning Intern (Advance Technology Group - Visual, Multimodal & Recommender Systems)",Pinterest,Remote (California),https://www.pinterestcareers.com/jobs/6778621/fall-machine-learning-intern-advance-technology-group-visual-multimodal-recommender-systems/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"About Pinterest:

Millions of people around the world come to our platform to find creative ideas, dream about new possibilities and plan for memories that will last a lifetime. At Pinterest, we’re on a mission to bring everyone the inspiration to create a life they love, and that starts with the people behind the product.

Discover a career where you ignite innovation for millions, transform passion into growth opportunities, celebrate each other’s unique experiences and embrace the flexibil...","About Pinterest:

Millions of people around the world come to our platform to find creative ideas, dream about new possibilities and plan for memories that will last a lifetime. At Pinterest, we’re on a mission to bring everyone the inspiration to create a life they love, and that starts with the people behind the product.

Discover a career where you ignite innovation for millions, transform passion into growth opportunities, celebrate each other’s unique experiences and embrace the flexibility to do your best work. Creating a career you love? It’s Possible.

As a machine learning intern in our Advance Technology Group at Pinterest, you will be exposed to a full spectrum of ML product development. The team focuses on developing cutting-edge technologies for Pinterest’s visual understanding modules and recommender systems.. You'll conduct research that can be applied across Pinterest engineering teams and engage in external collaborations and mentoring, while also having opportunities to deploy features to hundreds of millions of users or conduct research applicable for paper submissions. We offer a 12-week fall internship program remotely or in our San Francisco, Palo Alto, Seattle, or New York offices.

What you’ll do:
• Develop and launch new user features using unique internal datasets and ML techniques, especially in recommendation systems, computer vision, representation learning, generative AI, and responsible AI.
• Gain hands-on experience with production ML systems, including algorithmic research, infrastructure, data engineering, training, inference, and product, to deliver innovative solutions. You will be exposed to full-stack production ML systems.
• Contribute in cutting-edge research in machine learning and artificial intelligence that can be applied to Pinterest problems
• Write clean, efficient, and sustainable code
• Take proactive ownership over the completion and quality of your tasks and project with minimal guidance from your mentor, manager, and peers.

What we’re looking for:
• This role will be on our Visual Search or Applied Science teams. We are looking for candidates with experience in Computer Vision, Visual Search, User Understanding, Recommendation Systems, Reinforcement Learning, ML efficiency optimization, Generative AI, and LLMs.
• Ability to work full time from September-December 2025
• Working towards a PhD or Master’s degree in Computer Science, ML, NLP, Statistics, Information Sciences or related field
• Mastery of at least one systems language (Java, C++, Python) and one ML framework (Tensorflow, Pytorch, MLFlow)
• Experience in research and in solving analytical problems
• Strong communicator and team player. Being able to find solutions for open-ended problems.
• Publications in machine learning, AI, data science, data analytics, statistics, or related technical fields
• Strong passion for research and for answering hard questions with research
• Passion for applied ML and the Pinterest product

In-Office Requirement Statement:
• We let the type of work you do guide the collaboration style. That means we’re not always working in an office, but we continue to gather for key moments of collaboration and connection
• This role may require you to be located near an office for in-person collaboration, and therefore may need to be located a commutable distance from one of our Pinterest offices.

Relocation Statement:
• This position is not eligible for relocation assistance. Visit our PinFlex page to learn more about our working model.

In an effort to provide greater transparency, we are sharing the base salary range for this position. Final salary is based on a number of factors including location, travel, relevant prior experience, or particular skills and expertise.

Information regarding the culture at Pinterest and benefits available for this position can be found here.

US based applicants only

The salary for this position is $10,000-$11,000 monthly.

#LI-EB1

#LI-REMOTE

Our Commitment to Inclusion:
Pinterest is an equal opportunity employer and makes employment decisions on the basis of merit. We want to have the best qualified people in every job. All qualified applicants will receive consideration for employment without regard to race, color, ancestry, national origin, religion or religious creed, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, age, marital status, status as a protected veteran, physical or mental disability, medical condition, genetic information or characteristics (or those of a family member) or any other consideration made unlawful by applicable federal, state or local laws. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you require a medical or religious accommodation during the job application process, please complete this form for support.",Salary not specified,2025-05-27T00:00:00.000Z,2025-05-31 19:18:38.236411,False,,84.130005,jsearch_api
23,AI/ML Intern,QuickStart Learning Inc.,Remote,https://www.simplyhired.com/job/BbzVVT1btdF5V7rz0X_cDOlQ1qeDRim5QB2HEIeepCQm4hRS3s7ovQ?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Position: AI/ML Intern
Department: Technology
Location: Remote in US
Duration: 12 weeks (Summer)

Key Responsibilities:

•Assist in data collection, cleaning, preprocessing, and annotation

•Support the development and evaluation of machine learning models

•Collaborate with cross-functional teams to integrate AI features into products

•Stay up-to-date with current trends and advancements in AI/ML

•AI testing complex prompts that require multi stepped problem solving to review accuracy of A...","Position: AI/ML Intern
Department: Technology
Location: Remote in US
Duration: 12 weeks (Summer)

Key Responsibilities:

•Assist in data collection, cleaning, preprocessing, and annotation

•Support the development and evaluation of machine learning models

•Collaborate with cross-functional teams to integrate AI features into products

•Stay up-to-date with current trends and advancements in AI/ML

•AI testing complex prompts that require multi stepped problem solving to review accuracy of AI generated responses, specifically in non STEM related fields that don’t have definitive answers.

Qualifications:

•Currently pursuing a degree in Computer Science, Data Science, AI, or a related field

•Familiarity with Python and common ML libraries (e.g., TensorFlow, PyTorch, scikit-learn, NumPy, Pandas)

•Understanding of machine learning algorithms and basic deep learning concepts

•Experience with Jupyter Notebooks, Git, or similar tools is a plus

•Strong problem-solving skills and eagerness to learn

•Excellent written and verbal communication skills

Job Types: Full-time, Internship

Work Location: Remote",Salary not specified,2025-05-16T00:00:00.000Z,2025-05-31 19:18:38.229568,False,,77.501274,jsearch_api
22,Seasonal Intern - AI/ML,Mile Two,Remote,https://dailyremote.com/remote-job/seasonal-intern-ai-ml-3705192?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Job Type

Internship

Description

Join Our Innovative Team at Mile Two!

Are you passionate about solving complex problems and creating cutting-edge technology solutions? Do you thrive in a dynamic, collaborative environment where your skills and creativity are valued and encouraged? If so, Mile Two might be the perfect fit for you!

At Mile Two, we are dedicated to developing advanced solutions that drive innovation and efficiency across various industries. Our team of experts works on proj...","Job Type

Internship

Description

Join Our Innovative Team at Mile Two!

Are you passionate about solving complex problems and creating cutting-edge technology solutions? Do you thrive in a dynamic, collaborative environment where your skills and creativity are valued and encouraged? If so, Mile Two might be the perfect fit for you!

At Mile Two, we are dedicated to developing advanced solutions that drive innovation and efficiency across various industries. Our team of experts works on projects leveraging the latest technologies to make a real impact for our government and commercial partners. We create seamless integrations between human expertise and advanced machine capabilities to solve complex challenges.

Our core values define who we are and guide everything we do:
• Supported Autonomy: We empower our team members to take initiative and make decisions while providing the support they need to succeed.
• Humble Expertise: We recognize and respect the knowledge and skills of each team member, fostering an environment of continuous learning and improvement.
• Success is a Team Effort: We believe that collaboration and teamwork are essential to achieving our goals and delivering exceptional results.
• Tangible Results: We are driven by the desire to create real, measurable impacts through our work, ensuring that our solutions make a difference.

As part of our team, you will have the opportunity to work on meaningful projects that challenge you and help you grow professionally. We offer a supportive and inclusive work environment and numerous opportunities for career advancement. If you are ready to take your career to the next level and be part of something extraordinary, we invite you to explore our current job openings and apply today.

OVERVIEW:

Mile Two is seeking a motivated and curious intern to join our team for a seasonal position supporting a forward-looking Research & Development initiative. This project is designed to explore emerging capabilities that will shape our future solutions.

In this role, you’ll work closely with our experienced Machine Learning Engineers to design and implement a foundational application and prototype an agentic framework that will serve as a springboard for future tools and systems.

This is an exciting opportunity to gain hands-on experience in an applied ML environment while contributing meaningfully to our innovation pipeline.

Development will be done primarily in Python.

This is a paid, full-time (30-40 hrs/week), seasonal internship spanning approximately 3 months.

Requirements

REQUIRED QUALIFICATIONS
• Currently enrolled or recently completed an undergraduate or graduate program in Software Engineering, Computer Science, AI/ML, or a related field.
• Experience with Python

DESIRED QUALIFICATIONS
• Familiarity with agentic AI

Salary Description

$20-$22/hour",Salary not specified,2025-05-06T00:00:00.000Z,2025-05-31 19:18:38.222165,False,,81.72285,jsearch_api
21,AI/ML Internship,"Persistent Technology, Inc.","Remote (Remote, Oregon)",https://www.monster.com/job-openings/ai-ml-internship-remote-or--3d6ee98b-6728-42e6-84ab-328f2be0213f?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Job Title: AI/ML Internship

Location: Remote

Company: Persistent Technology Inc.

About Us: At Persistent Technology Inc., we are at the forefront of using artificial intelligence and machine learning to address complex challenges. Our current AI/ML projects focus on advancing mental health through natural language processing (NLP) and large language models (LLMs) to improve patient education. We are looking for a motivated intern to join our team and contribute to these groundbreaking proj...","Job Title: AI/ML Internship

Location: Remote

Company: Persistent Technology Inc.

About Us: At Persistent Technology Inc., we are at the forefront of using artificial intelligence and machine learning to address complex challenges. Our current AI/ML projects focus on advancing mental health through natural language processing (NLP) and large language models (LLMs) to improve patient education. We are looking for a motivated intern to join our team and contribute to these groundbreaking projects.

Position Overview: As an AI/ML Intern, you will play an essential role in supporting the development of NLP-based solutions for mental health and patient education applications. This is a great opportunity for students or recent graduates with a passion for AI/ML, data science, and healthcare. You will work closely with our engineering and data science teams to assist in data preparation, research, testing, and validation processes.

Responsibilities:
• Assist in collecting, cleaning, and preparing data for use in AI/ML models
• Conduct literature reviews and research to identify best practices in NLP for mental health and patient education
• Support the design and execution of experiments to test the performance and accuracy of LLMs
• Collaborate with team members to analyze results and fine-tune models for improved outcomes
• Participate in the validation and testing phases to ensure reliability and compliance with industry standards
• Document project progress, methodologies, and findings for internal reports

Qualifications:
• Currently pursuing or recently completed a degree in Computer Science, Data Science, Artificial Intelligence, or a related field
• Basic knowledge of AI/ML concepts, with a focus on NLP
• Familiarity with Python and common AI/ML libraries (e.g., TensorFlow, PyTorch, Scikit-learn)
• Strong analytical and problem-solving skills
• Excellent research and communication abilities
• Passionate about the intersection of AI and healthcare, particularly in mental health and patient education

Preferred Qualifications:
• Experience with large datasets and data preprocessing techniques
• Exposure to LLMs such as GPT or similar models
• Interest in mental health applications of technology

Benefits:
• Flexible work hours
• Hands-on experience with cutting-edge AI/ML projects
• Mentorship and learning opportunities with experienced professionals
• Networking opportunities in the AI/healthcare tech space

Remote

About the Company:
Persistent Technology, Inc.",Salary not specified,2025-05-29T00:00:00.000Z,2025-05-31 19:18:38.212534,False,,79.18013,jsearch_api
